recordIdentifier,title,date,senders,receivers,mentioned,genre
DE-611-HS-3529262,"Brief von Wolfgang Pauli von Eidgenössische Technische Hochschule Zürich. Departement Physik an Werner Heisenberg, 18.01.1933",1933-01-18,"Pauli, Wolfgang (1900-1958); Eidgenössische Technische Hochschule Zürich. Departement Physik","Heisenberg, Werner (1901-1976)","Von Neumann, John (1903-1957); Klein, Oskar (1894-1977); Jordan, Pascual (1902-1980); Wigner, Eugene Paul (1902-1995); Landau, Lev Davidovič (1908-1968)",Brief
DE-611-HS-3529336,"Brief von Wolfgang Pauli von Eidgenössische Technische Hochschule Zürich. Departement Physik an Werner Heisenberg, 02.06.1933",1933-06-02,"Pauli, Wolfgang (1900-1958); Eidgenössische Technische Hochschule Zürich. Departement Physik","Heisenberg, Werner (1901-1976)","Dirac, P. A. M. (1902-1984); Fok, Vladimir A. (1898-1974); Podolsky, Boris",Brief
DE-611-HS-3529464,"Brief von Wolfgang Pauli von Eidgenössische Technische Hochschule Zürich. Departement Physik an Werner Heisenberg, 14.07.1933",1933-07-14,"Pauli, Wolfgang (1900-1958); Eidgenössische Technische Hochschule Zürich. Departement Physik","Heisenberg, Werner (1901-1976)","Wigner, Eugene Paul (1902-1995); Anderson, Carl David (1905-1991) [vermutlich]; Elsasser, Walter Maurice (1904-1991); Bacher, Robert Fox (1905-2004); Rabi, Isidor I. (1898-1988); Stern, Otto (1888-1969); Delbrück, Max (1906-1981); Peierls, Rudolf Ernst (1907-1995); Gray, Louis H. (1875-1955)",Brief
DE-611-HS-3529642,"Brief von Wolfgang Pauli von Eidgenössische Technische Hochschule Zürich. Departement Physik an Werner Heisenberg, 19.07.1933",1933-07-19,"Pauli, Wolfgang (1900-1958); Eidgenössische Technische Hochschule Zürich. Departement Physik","Heisenberg, Werner (1901-1976)","Fok, Vladimir A. (1898-1974); Podolsky, Boris",Brief
DE-611-HS-3529694,"Brief von Wolfgang Pauli von Eidgenössische Technische Hochschule Zürich. Departement Physik an Werner Heisenberg, 22.07.1933",1933-07-22,"Pauli, Wolfgang (1900-1958); Eidgenössische Technische Hochschule Zürich. Departement Physik","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3529832,"Brief von Wolfgang Pauli von Eidgenössische Technische Hochschule Zürich. Departement Physik an Werner Heisenberg, 29.09.1933",1933-09-29,"Pauli, Wolfgang (1900-1958); Eidgenössische Technische Hochschule Zürich. Departement Physik","Heisenberg, Werner (1901-1976)","Oppenheimer, J. Robert (1904-1967); Plesset, Milton S. (1908-1991)",Brief
DE-611-HS-3529924,"Brief von Wolfgang Pauli von Eidgenössische Technische Hochschule Zürich. Departement Physik an Werner Heisenberg, 30.09.1933",1933-09-30,"Pauli, Wolfgang (1900-1958); Eidgenössische Technische Hochschule Zürich. Departement Physik","Heisenberg, Werner (1901-1976)","Thibaud, Jean (1901-1960); Dirac, P. A. M. (1902-1984)",Brief
DE-611-HS-3530008,"Brief von Wolfgang Pauli von Eidgenössische Technische Hochschule Zürich. Departement Physik an Werner Heisenberg, 08.11.1933",1933-11-08,"Pauli, Wolfgang (1900-1958); Eidgenössische Technische Hochschule Zürich. Departement Physik","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3530037,"Brief von Wolfgang Pauli von Eidgenössische Technische Hochschule Zürich. Departement Physik an Werner Heisenberg, 09.11.1933",1933-11-09,"Pauli, Wolfgang (1900-1958); Eidgenössische Technische Hochschule Zürich. Departement Physik","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3530477,"Brief von Wolfgang Pauli von Eidgenössische Technische Hochschule Zürich. Departement Physik an Werner Heisenberg, 14.11.1933",1933-11-14,"Pauli, Wolfgang (1900-1958); Eidgenössische Technische Hochschule Zürich. Departement Physik","Heisenberg, Werner (1901-1976)","Kirchner, Fritz (1896-1967) [vermutlich]",Brief
