date;senders;receivers
1933-01-18;"Pauli, Wolfgang (1900-1958); Eidgenössische Technische Hochschule Zürich. Departement Physik";Heisenberg, Werner (1901-1976)
1933-06-02;"Pauli, Wolfgang (1900-1958); Eidgenössische Technische Hochschule Zürich. Departement Physik";Heisenberg, Werner (1901-1976)
1933-07-14;"Pauli, Wolfgang (1900-1958); Eidgenössische Technische Hochschule Zürich. Departement Physik";Heisenberg, Werner (1901-1976)
1933-07-19;"Pauli, Wolfgang (1900-1958); Eidgenössische Technische Hochschule Zürich. Departement Physik";Heisenberg, Werner (1901-1976)
1933-07-22;"Pauli, Wolfgang (1900-1958); Eidgenössische Technische Hochschule Zürich. Departement Physik";Heisenberg, Werner (1901-1976)
1933-09-29;"Pauli, Wolfgang (1900-1958); Eidgenössische Technische Hochschule Zürich. Departement Physik";Heisenberg, Werner (1901-1976)
1933-09-30;"Pauli, Wolfgang (1900-1958); Eidgenössische Technische Hochschule Zürich. Departement Physik";Heisenberg, Werner (1901-1976)
1933-11-08;"Pauli, Wolfgang (1900-1958); Eidgenössische Technische Hochschule Zürich. Departement Physik";Heisenberg, Werner (1901-1976)
1933-11-09;"Pauli, Wolfgang (1900-1958); Eidgenössische Technische Hochschule Zürich. Departement Physik";Heisenberg, Werner (1901-1976)
1933-11-14;"Pauli, Wolfgang (1900-1958); Eidgenössische Technische Hochschule Zürich. Departement Physik";Heisenberg, Werner (1901-1976)
1933-12-11;"Pauli, Wolfgang (1900-1958); Eidgenössische Technische Hochschule Zürich. Departement Physik";Heisenberg, Werner (1901-1976)
1934-01-21;"Pauli, Wolfgang (1900-1958); Eidgenössische Technische Hochschule Zürich. Departement Physik";Heisenberg, Werner (1901-1976)
1934-01-30;"Pauli, Wolfgang (1900-1958); Eidgenössische Technische Hochschule Zürich. Departement Physik";Heisenberg, Werner (1901-1976)
1934-02-06;"Pauli, Wolfgang (1900-1958); Eidgenössische Technische Hochschule Zürich. Departement Physik";Heisenberg, Werner (1901-1976)
1934-02-10;"Pauli, Wolfgang (1900-1958); Eidgenössische Technische Hochschule Zürich. Departement Physik";Heisenberg, Werner (1901-1976)
1934-02-13;"Pauli, Wolfgang (1900-1958); Eidgenössische Technische Hochschule Zürich. Departement Physik";Heisenberg, Werner (1901-1976)
1934-02-17;"Pauli, Wolfgang (1900-1958); Eidgenössische Technische Hochschule Zürich. Departement Physik";Heisenberg, Werner (1901-1976)
1934-04-17;"Pauli, Wolfgang (1900-1958); Eidgenössische Technische Hochschule Zürich. Departement Physik";Heisenberg, Werner (1901-1976)
1934-06-14;"Pauli, Wolfgang (1900-1958); Eidgenössische Technische Hochschule Zürich. Departement Physik";Heisenberg, Werner (1901-1976)
1934-07-16;"Pauli, Wolfgang (1900-1958); Eidgenössische Technische Hochschule Zürich. Departement Physik";Heisenberg, Werner (1901-1976)
1934-07-25;"Pauli, Wolfgang (1900-1958); Eidgenössische Technische Hochschule Zürich. Departement Physik";Heisenberg, Werner (1901-1976)
1934-10-13;"Pauli, Wolfgang (1900-1958); Eidgenössische Technische Hochschule Zürich. Departement Physik";"Heisenberg, Werner (1901-1976); Universität Leipzig. Fachbereich Physik"
1934-10-24;"Pauli, Wolfgang (1900-1958); Eidgenössische Technische Hochschule Zürich. Departement Physik";Heisenberg, Werner (1901-1976)
1934-11-01;"Pauli, Wolfgang (1900-1958); Eidgenössische Technische Hochschule Zürich. Departement Physik";Heisenberg, Werner (1901-1976)
1934-11-07;"Pauli, Wolfgang (1900-1958); Eidgenössische Technische Hochschule Zürich. Departement Physik";Heisenberg, Werner (1901-1976)
1934-11-30;"Pauli, Wolfgang (1900-1958); Eidgenössische Technische Hochschule Zürich. Departement Physik";Heisenberg, Werner (1901-1976)
1934-12-03;"Pauli, Wolfgang (1900-1958); Eidgenössische Technische Hochschule Zürich. Departement Physik";Heisenberg, Werner (1901-1976)
1934-12-16;"Pauli, Wolfgang (1900-1958); Eidgenössische Technische Hochschule Zürich. Departement Physik";Heisenberg, Werner (1901-1976)
1935-02-09;"Pauli, Wolfgang (1900-1958); Eidgenössische Technische Hochschule Zürich. Departement Physik";Heisenberg, Werner (1901-1976)
1935-06-15;"Pauli, Wolfgang (1900-1958); Eidgenössische Technische Hochschule Zürich. Departement Physik";Heisenberg, Werner (1901-1976)
1936-06-09;"Pauli, Wolfgang (1900-1958); Eidgenössische Technische Hochschule Zürich. Departement Physik";Heisenberg, Werner (1901-1976)
1936-10-26;"Pauli, Wolfgang (1900-1958); Eidgenössische Technische Hochschule Zürich. Departement Physik";Heisenberg, Werner (1901-1976)
1936-11-04;Pauli, Wolfgang (1900-1958);Heisenberg, Werner (1901-1976)
1936-11-09;"Pauli, Wolfgang (1900-1958); Eidgenössische Technische Hochschule Zürich. Departement Physik";Heisenberg, Werner (1901-1976)
1936-11-24;"Pauli, Wolfgang (1900-1958); Eidgenössische Technische Hochschule Zürich. Departement Physik";Heisenberg, Werner (1901-1976)
