date;senders;receivers
1969-01-14;Heisenberg, Werner (1901-1976);Votruba, Václav (1909-1990)
1968-12-31;Votruba, Václav (1909-1990);Heisenberg, Werner (1901-1976)
1962-09-18;Heisenberg, Werner (1901-1976);"Kotwal, J. V.; Tata Institute of Fundamental Research"
1962-09-12;"Kotwal, J. V.; Tata Institute of Fundamental Research";Heisenberg, Werner (1901-1976)
1961-01-19;Heisenberg, Werner (1901-1976);Deutscher Akademischer Austauschdienst (1931-1945)
1960-01-26;Heisenberg, Werner (1901-1976);Deutscher Akademischer Austauschdienst (1931-1945)
1960-01-05;Deutscher Akademischer Austauschdienst (1931-1945);Vaidya, Shreeniwas Maheshwar (1934-)
1959-02-13;Heisenberg, Werner (1901-1976);"Schmandt, Jurgen; Deutscher Akademischer Austauschdienst (1931-1945)"
1959-02-03;"Schmandt, Jurgen; Deutscher Akademischer Austauschdienst (1931-1945)";Heisenberg, Werner (1901-1976)
1958-11-07;Symanzik, Kurt (1923-1983);"Vaidya, Shreeniwas Maheshwar (1934-); Tata Institute of Fundamental Research"
1958-10-28;Tata Institute of Fundamental Research;Heisenberg, Werner (1901-1976)
1958-10-06;Heisenberg, Werner (1901-1976);"Bhabha, Homi Jehangir (1909-1966); Tata Institute of Fundamental Research"
1958-09-25;"Vaidya, Shreeniwas Maheshwar (1934-); Tata Institute of Fundamental Research";Heisenberg, Werner (1901-1976)
1974-07-11;"Van Hove, Leon; Max-Planck-Institut für Physik und Astrophysik (1958-1991)";"Lüst, Reimar (1923-2020); Max-Planck-Gesellschaft zur Förderung der Wissenschaften (1948-)"
1973-08-16;Heisenberg, Werner (1901-1976);Van Hove, Leon
1972-10-31;Heisenberg, Werner (1901-1976);Van Hove, Leon
1972-10-23;"Van Hove, Leon; Max-Planck-Institut für Physik und Astrophysik (1958-1991)";Heisenberg, Werner (1901-1976)
1964-10-28;Heisenberg, Werner (1901-1976);"Van Hove, Leon; CERN (1954-)"
1961-07-03;Heisenberg, Werner (1901-1976);"Van Hove, Leon; CERN (1954-)"
1961-05-17;Heisenberg, Werner (1901-1976);"Van Hove, Leon; Rijksuniversiteit Utrecht (1817-1992)"
1966-02-25;Fonds der Chemischen Industrie;"Heisenberg, Werner (1901-1976); Alexander von Humboldt-Stiftung (1860-1923)"
1964;Verband der Chemischen Industrie;Heisenberg, Werner (1901-1976) [vermutlich]
1960-10-18;Heisenberg, Werner (1901-1976);Verband der Chemischen Industrie
1960-09-20;"Hobert, Margot (1912-); Max-Planck-Institut für Physik. Direktion. Sekretariat";Verband der Chemischen Industrie
1960;Verband der Chemischen Industrie;Heisenberg, Werner (1901-1976) [vermutlich]
1960-03-16;Fonds der Chemischen Industrie;"Heisenberg, Werner (1901-1976); Alexander von Humboldt-Stiftung (1860-1923)"
1960;Fonds der Chemischen Industrie;Heisenberg, Werner (1901-1976)
1955-05-24;Heisenberg, Werner (1901-1976);Verband der Chemischen Industrie
1955;Verband der Chemischen Industrie;Heisenberg, Werner (1901-1976) [vermutlich]
1968-07-23;"Remy, Ernst; Verband der Wissenschaftler an Forschungsinstituten";"Heisenberg, Werner (1901-1976); Max-Planck-Institut für Physik und Astrophysik (1958-1991)"
