recordIdentifier,title,date,senders,receivers,mentioned,genre
DE-611-HS-3616988,"Brief von Werner Heisenberg an Václav Votruba, 14.01.1969",1969-01-14,"Heisenberg, Werner (1901-1976)","Votruba, Václav (1909-1990)","Heisenberg, Elisabeth (1914-1998)",Brief
DE-611-HS-3616991,"Brief von Václav Votruba an Werner Heisenberg, 31.12.1968",1968-12-31,"Votruba, Václav (1909-1990)","Heisenberg, Werner (1901-1976)",,Brief
DE-611-BF-81594,"487. IV. Institutionen, 1. Korrespondenz: Vaidya, S. M.",1955,,,,unknown
DE-611-HS-3686363,"Brief von Werner Heisenberg an J. V. Kotwal an Tata Institute of Fundamental Research, 18.09.1962",1962-09-18,"Heisenberg, Werner (1901-1976)","Kotwal, J. V.; Tata Institute of Fundamental Research","Vaidya, Shreeniwas Maheshwar (1934-); Symanzik, Kurt (1923-1983); Gasiorowicz, Stephen (1928-)",Brief
DE-611-HS-3686373,"Brief von J. V. Kotwal von Tata Institute of Fundamental Research an Werner Heisenberg, 12.09.1962",1962-09-12,"Kotwal, J. V.; Tata Institute of Fundamental Research","Heisenberg, Werner (1901-1976)","Vaidya, Shreeniwas Maheshwar (1934-)",Brief
DE-611-HS-3686375,Aktenverweis (Einheitstitel von Bearbeiter/in),unknown,,,,unknown
DE-611-HS-3686381,"Brief von Werner Heisenberg an Deutscher Akademischer Austauschdienst, 19.01.1961",1961-01-19,"Heisenberg, Werner (1901-1976)",Deutscher Akademischer Austauschdienst (1931-1945),"Vaidya, Shreeniwas Maheshwar (1934-); Symanzik, Kurt (1923-1983); Gasiorowicz, Stephen (1928-)",Brief
DE-611-HS-3686383,"Brief von Werner Heisenberg an Deutscher Akademischer Austauschdienst, 26.01.1960",1960-01-26,"Heisenberg, Werner (1901-1976)",Deutscher Akademischer Austauschdienst (1931-1945),"Vaidya, Shreeniwas Maheshwar (1934-); Symanzik, Kurt (1923-1983); Gasiorowicz, Stephen (1928-)",Brief
DE-611-HS-3686576,"Brief von Deutscher Akademischer Austauschdienst an Shreeniwas Maheshwar Vaidya, 05.01.1960",1960-01-05,Deutscher Akademischer Austauschdienst (1931-1945),"Vaidya, Shreeniwas Maheshwar (1934-)",,Brief
DE-611-HS-3686584,"Brief von Werner Heisenberg an Jurgen Schmandt an Deutscher Akademischer Austauschdienst, 13.02.1959",1959-02-13,"Heisenberg, Werner (1901-1976)","Schmandt, Jurgen; Deutscher Akademischer Austauschdienst (1931-1945)","Vaidya, Shreeniwas Maheshwar (1934-)",Brief
DE-611-HS-3686590,"Brief von Jurgen Schmandt von Deutscher Akademischer Austauschdienst an Werner Heisenberg, 03.02.1959",1959-02-03,"Schmandt, Jurgen; Deutscher Akademischer Austauschdienst (1931-1945)","Heisenberg, Werner (1901-1976)","Vaidya, Shreeniwas Maheshwar (1934-)",Brief
DE-611-HS-3686596,"Brief von Kurt Symanzik an Shreeniwas Maheshwar Vaidya an Tata Institute of Fundamental Research, 07.11.1958",1958-11-07,"Symanzik, Kurt (1923-1983)","Vaidya, Shreeniwas Maheshwar (1934-); Tata Institute of Fundamental Research","Heisenberg, Werner (1901-1976)",Brief
DE-611-HS-3686650,"Brief von Tata Institute of Fundamental Research an Werner Heisenberg, 28.10.1958",1958-10-28,Tata Institute of Fundamental Research,"Heisenberg, Werner (1901-1976)","Vaidya, Shreeniwas Maheshwar (1934-); Bhabha, Homi Jehangir (1909-1966)",Brief
DE-611-HS-3686651,"Brief von Werner Heisenberg an Homi Jehangir Bhabha an Tata Institute of Fundamental Research, 06.10.1958",1958-10-06,"Heisenberg, Werner (1901-1976)","Bhabha, Homi Jehangir (1909-1966); Tata Institute of Fundamental Research","Vaidya, Shreeniwas Maheshwar (1934-)",Brief
DE-611-HS-3686653,"Brief von Shreeniwas Maheshwar Vaidya von Tata Institute of Fundamental Research an Werner Heisenberg, 25.09.1958",1958-09-25,"Vaidya, Shreeniwas Maheshwar (1934-); Tata Institute of Fundamental Research","Heisenberg, Werner (1901-1976)",,Brief
DE-611-BF-81595,"488. IV. Institutionen, 1. Korrespondenz: Van Hove, Leon",1961,,,,unknown
DE-611-HS-3686668,"Brief von Leon Van Hove von Max-Planck-Institut für Physik und Astrophysik an Reimar Lüst an Max-Planck-Gesellschaft zur Förderung der Wissenschaften, 11.07.1974",1974-07-11,"Van Hove, Leon; Max-Planck-Institut für Physik und Astrophysik (1958-1991)","Lüst, Reimar (1923-2020); Max-Planck-Gesellschaft zur Förderung der Wissenschaften (1948-)","Butenandt, Adolf (1903-1995)",Brief
DE-611-HS-3686669,"Brief von Werner Heisenberg an Leon Van Hove, 16.08.1973",1973-08-16,"Heisenberg, Werner (1901-1976)","Van Hove, Leon","Stierlin, Ulrich (1931-1994); Hyams, Bernard (1925-2015)",Brief
DE-611-HS-3686671,"Brief von Werner Heisenberg an Leon Van Hove, 31.10.1972",1972-10-31,"Heisenberg, Werner (1901-1976)","Van Hove, Leon","Lüst, Reimar (1923-2020)",Brief
DE-611-HS-3686674,"Brief von Leon Van Hove von Max-Planck-Institut für Physik und Astrophysik an Werner Heisenberg, 23.10.1972",1972-10-23,"Van Hove, Leon; Max-Planck-Institut für Physik und Astrophysik (1958-1991)","Heisenberg, Werner (1901-1976)","Butenandt, Adolf (1903-1995); Gentner, Wolfgang (1906-1980); Lüst, Reimar (1923-2020); Schmitz, Norbert (1933-)",Brief
DE-611-HS-3686893,"Brief von Werner Heisenberg an Leon Van Hove an CERN, 28.10.1964",1964-10-28,"Heisenberg, Werner (1901-1976)","Van Hove, Leon; CERN (1954-)",,Brief
DE-611-HS-3686916,"Brief von Werner Heisenberg an Leon Van Hove an CERN, 03.07.1961",1961-07-03,"Heisenberg, Werner (1901-1976)","Van Hove, Leon; CERN (1954-)","Marshak, Robert Eugene",Brief
